Unnamed: 0,count,350,450
16,9061,4.31372308731,3.71284294128
118,9100,2.44795417786,2.99447107315
69,9180,2.68229198456,2.58884501457
0,9261,1.83905315399,2.4737098217
103,9438,2.73474597931,1.90575289726
121,9614,2.66138386726,2.09689497948
110,9676,2.1501250267,1.48921084404
73,9856,1.75703501701,1.71366095543
89,9900,2.43135499954,1.42052483559
41,9936,1.70905804634,1.57824611664
172,10164,1.44228410721,2.10689496994
145,10368,1.61041998863,1.89442491531
77,10846,2.01760101318,1.51385188103
102,10920,2.69998502731,2.32209992409
2,10944,1.50819301605,2.19425201416
183,11100,2.29813790321,2.19201207161
34,11200,1.8418340683,2.62134504318
5,11200,2.3776550293,1.70087814331
47,11408,1.73780202866,2.05085706711
188,11594,1.42751193047,2.12169194221
168,11970,1.55721902847,2.06842398643
10,12236,1.52006292343,2.24114990234
21,13858,2.08868789673,1.59915518761
90,13950,1.99403500557,2.48685407639
149,14300,1.47347903252,2.23700904846
79,14450,1.86284995079,1.50876498222
155,14904,1.89758682251,1.57844209671
33,15456,1.64543700218,1.9905807972
92,15624,1.60417890549,2.63820195198
53,15870,2.00705194473,2.59996509552
80,16104,1.66337800026,2.14625287056
62,16192,1.70240688324,2.12336611748
9,16250,2.8328909874,1.78248405457
148,16520,1.69946289062,2.02674007416
152,16660,1.61603498459,1.86768889427
66,16965,2.50825095177,2.16370415688
197,17204,2.84821391106,2.06381511688
25,18095,1.90717387199,1.66590189934
146,18252,2.92206382751,1.6561691761
107,18300,2.51613402367,1.91117191315
105,18468,2.41568899155,1.81496310234
119,19080,1.94011902809,1.75369596481
135,19264,2.52202320099,1.97848010063
154,19380,2.2025167942,2.13499593735
64,19656,1.70267796516,1.84506392479
151,19780,2.09554696083,2.03178882599
157,19890,1.73886585236,2.03153300285
195,20088,2.60113191605,3.80941796303
85,20460,2.10055398941,2.36283802986
96,21000,4.66522502899,2.9870698452
162,21025,2.17281293869,1.76101183891
180,21054,2.24097108841,1.9864730835
38,22680,1.83925819397,2.92423796654
86,23296,2.11272096634,2.48786211014
128,23868,1.93232083321,1.89725399017
48,24696,1.93452215195,1.84179496765
196,25270,2.01433086395,2.59957504272
7,25760,1.75596189499,2.43591499329
173,25970,1.86095499992,1.978069067
97,26550,1.79021692276,2.0904109478
198,26910,2.81147503853,2.31983304024
176,27000,2.54100203514,2.06441497803
126,28611,2.25517416,2.81513595581
39,28880,2.2138209343,2.50781607628
171,29835,2.53033494949,2.02321910858
20,29925,2.38636302948,2.33976101875
19,30090,4.29986214638,4.14347600937
61,30240,2.97842216492,2.09917283058
136,31360,3.54634809494,4.13533687592
95,34317,3.52283811569,3.44076991081
123,36800,3.26877093315,3.00827884674
35,38760,2.28177213669,2.18359398842
185,39200,2.76822710037,2.34193587303
63,40950,2.54912781715,2.5559220314
93,41325,2.7891190052,3.47663211823
4,43214,3.446352005,3.69771885872
144,44608,3.29472303391,2.32543420792
30,44982,3.48926305771,3.97640800476
122,45000,2.93767213821,2.81651115417
44,46368,2.90962576866,3.90131306648
150,46530,3.52716112137,2.5771958828
124,46656,3.20001912117,2.37231016159
178,51240,3.75374507904,3.45433497429
170,51940,2.91009402275,4.31557106972
139,55800,2.51655983925,4.16659212112
74,61256,4.0630171299,2.83967208862
57,62930,3.74477410316,3.27876806259
192,64512,5.58910512924,3.27000594139
115,66960,4.15387105942,3.58060193062
163,67416,3.53740477562,3.19331383705
138,68320,3.96034908295,3.99226903915
101,68640,2.89556884766,3.44450688362
179,70200,2.96922707558,3.29529213905
50,70356,3.54420590401,3.65988397598
175,79730,4.18824005127,8.38835191727
190,79856,6.02257490158,4.19133806229
49,85800,6.41225504875,8.561606884
108,87615,4.55279994011,4.02177119255
160,116424,4.7990629673,6.07366704941
55,135915,6.32458496094,7.88526296616
26,143000,7.55127120018,8.03961086273
166,164640,9.30851483345,9.54645895958
83,166911,7.67081093788,7.31634497643
